East Longmeadow, 42.0670, -72.5134
Ashby, 42.6738, -71.8083
Blackstone, 42.0255, -71.5432
Medfield, 42.1924, -71.3060
Rowley, 42.7223, -70.8794
Montgomery, 42.1824, -72.7211
Longmeadow, 42.0501, -72.5827
Ashfield, 42.5138, -72.8133
Dracut, 42.6708, -71.3020
West Tisbury, 41.3839, -70.6900
Tisbury, 41.4528, -70.6070
Granby, 42.2556, -72.5205
Stockbridge, 42.2871, -73.3203
Hancock, 42.5542, -73.2909
Carlisle, 42.5293, -71.3524
Acushnet, 41.6751, -70.9088
Mendon, 42.1057, -71.5523
Truro, 42.0396, -70.0524
Hardwick, 42.3493, -72.1993
New Ashford, 42.5683, -73.2099
Paxton, 42.3509, -71.9539
New Braintree, 42.3507, -72.1074
Ayer, 42.5609, -71.5898
South Hadley, 42.2588, -72.5754
Boylston, 42.3402, -71.7114
Wayland, 42.3625, -71.3619
Sheffield, 42.1070, -73.3654
